T00h	T02h	T06h	T12h	T18h	T24h
					ENSMUSG00000119038
					ENSMUSG00000119061
					ENSMUSG00000119074
					ENSMUSG00000119118
					ENSMUSG00000119139
					ENSMUSG00000119194
					ENSMUSG00000119199
					ENSMUSG00000119210
					ENSMUSG00000119280
					ENSMUSG00000119324
					ENSMUSG00000119383
					ENSMUSG00000119430
					ENSMUSG00000119440
					ENSMUSG00000119467
					ENSMUSG00000119471
					ENSMUSG00000119481
					ENSMUSG00000119493
					ENSMUSG00000119521
					ENSMUSG00000119523
					ENSMUSG00000119546
					ENSMUSG00000119552
					ENSMUSG00000119561
					ENSMUSG00000119562
					ENSMUSG00000119584
					ENSMUSG00000119587
					ENSMUSG00000119615
					ENSMUSG00000119685
					ENSMUSG00000119714
					ENSMUSG00000119730
					ENSMUSG00000119731
					ENSMUSG00000119743
					ENSMUSG00000119745
					ENSMUSG00000119748
					ENSMUSG00000119755
					ENSMUSG00000119762
					ENSMUSG00000119808
					ENSMUSG00000119844
					ENSMUSG00000119904
					ENSMUSG00000119919
					ENSMUSG00000119920
					ENSMUSG00000121441
					ENSMUSG00000121628
					ENSMUSG00000121647
					ENSMUSG00000121724
					ENSMUSG00000121797
					ENSMUSG00000121800
					ENSMUSG00000121801
					ENSMUSG00000121803
					ENSMUSG00000121818
					ENSMUSG00000121846
					ENSMUSG00000141775
					ENSMUSG00001118664
